entity,rdf:type,title,date,theme,hasAuthor,isRealisedThrough,typeOfRedaction,language,hasCreator,name,personDate,enjambment,enjambmentOn,lineNumber,metre,numberOfSyllables,redactionUri,stanzaNumber,text
https://summer-school.uned.es/resources/Linea#3ad5fb5f-808a-4252-a56d-bd6e8342ff01,summerOnto:Linea,,,,,,,,,,,,,32.0,---+-+-+--+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,7.0,con su cantar sabroso no aprendido;
https://summer-school.uned.es/resources/Linea#e764678c-555f-429b-8c7a-a1f531f38f99,summerOnto:Linea,,,,,,,,,,,sirrematic,ADP ADJ,33.0,+--+-+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,7.0,no los cuidados graves
https://summer-school.uned.es/resources/Linea#42ecaaf6-0cdb-4c8c-a8ae-86c399e3ac41,summerOnto:Linea,,,,,,,,,,,,,34.0,--++--+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,7.0,de que es siempre seguido
https://summer-school.uned.es/resources/Linea#da421cea-7c35-4a72-adea-7386053f8d66,summerOnto:Linea,,,,,,,,,,,,,35.0,----+--+--+--+-,15.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,7.0,el que al ajeno arbitrio está atenido.
https://summer-school.uned.es/resources/Linea#c7031821-05d9-45f2-ab34-51bc981c174d,summerOnto:Linea,,,,,,,,,,,,,36.0,-++--+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,8.0,"Vivir quiero conmigo,"
https://summer-school.uned.es/resources/Linea#dd671bd5-331c-4d3b-9bd4-39db15dc6f0c,summerOnto:Linea,,,,,,,,,,,,,37.0,-++--+-+--+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,8.0,"gozar quiero del bien que debo al cielo,"
https://summer-school.uned.es/resources/Linea#63037c53-7454-43f0-9c7c-eaba74205697,summerOnto:Linea,,,,,,,,,,,,,38.0,-+---+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,8.0,"a solas, sin testigo,"
https://summer-school.uned.es/resources/Linea#db9a4f15-3bd4-409d-b5ff-33670ff4194e,summerOnto:Linea,,,,,,,,,,,,,39.0,+---+-+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,8.0,"libre de amor, de celo,"
https://summer-school.uned.es/resources/Linea#2ff9a17f-1513-4b7a-aedc-e9dfbba69ad3,summerOnto:Linea,,,,,,,,,,,,,40.0,-+----+--+--,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,8.0,"de odio, de esperanzas, de recelo."
https://summer-school.uned.es/resources/Linea#7a15d1f3-c2b6-4535-b5b1-098587dd90cb,summerOnto:Linea,,,,,,,,,,,,,41.0,-+----+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,9.0,"Del monte en la ladera,"
https://summer-school.uned.es/resources/Linea#d60bfc2d-5d1f-4f2c-ac8a-267bc329fa2d,summerOnto:Linea,,,,,,,,,,,,,42.0,--+--+-+-++-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,9.0,"por mi mano plantado tengo un huerto,"
https://summer-school.uned.es/resources/Linea#d8c34db6-ebb6-4dae-bce1-6726f5caee67,summerOnto:Linea,,,,,,,,,,,sirrematic,ADP NOUN,43.0,-----+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,9.0,que con la primavera
https://summer-school.uned.es/resources/Linea#df2075ba-c825-4b1f-a155-632e71af1cdb,summerOnto:Linea,,,,,,,,,,,,,44.0,-+-+-+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,9.0,de bella flor cubierto
https://summer-school.uned.es/resources/Linea#3890055d-b369-4c2b-b1cf-50270c5346b7,summerOnto:Linea,,,,,,,,,,,,,45.0,++----+--+-+-,13.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,9.0,ya muestra en esperanza el fruto cierto.
https://summer-school.uned.es/resources/Linea#9a6891a8-62e7-4e2e-803f-397a656d0849,summerOnto:Linea,,,,,,,,,,,sirrematic,ADP ADJ,46.0,++---+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,10.0,Y como codiciosa
https://summer-school.uned.es/resources/Linea#a73fcf5c-5cfd-4e96-aaec-c0e19c869287,summerOnto:Linea,,,,,,,,,,,,,47.0,-++---+---+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,10.0,"por ver y acrecentar su hermosura,"
https://summer-school.uned.es/resources/Linea#9549184a-a77c-4ab7-be1f-62eb031ce6b2,summerOnto:Linea,,,,,,,,,,,,,48.0,+--+--+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,10.0,desde la cumbre airosa
https://summer-school.uned.es/resources/Linea#8cf92ba1-bd98-41ae-9417-f373b7110969,summerOnto:Linea,,,,,,,,,,,,,49.0,+--+-+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,10.0,una fontana pura
https://summer-school.uned.es/resources/Linea#b8e0a4d8-952d-4cee-b49a-df0afae44c07,summerOnto:Linea,,,,,,,,,,,,,50.0,+--+-+----+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,10.0,hasta llegar corriendo se apresura.
https://summer-school.uned.es/resources/Linea#c6a2e5e2-487d-44ba-9deb-4de7f96f1f5e,summerOnto:Linea,,,,,,,,,,,,,51.0,++---+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,11.0,"Y luego, sosegada,"
https://summer-school.uned.es/resources/Linea#bab452a0-fae7-4197-ad76-d2b8dedd690c,summerOnto:Linea,,,,,,,,,,,,,52.0,-+-+--+---+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,11.0,"el paso entre los árboles torciendo,"
https://summer-school.uned.es/resources/Linea#d8111642-746d-4087-8d90-31268921204c,summerOnto:Linea,,,,,,,,,,,sirrematic,ADP ADJ,53.0,-+---+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,11.0,el suelo de pasada
https://summer-school.uned.es/resources/Linea#4484a948-09a8-467e-b398-6935fa27f8e1,summerOnto:Linea,,,,,,,,,,,,,54.0,--+--+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,11.0,de verdura vistiendo
https://summer-school.uned.es/resources/Linea#22a31c1b-3e90-4185-82a3-8c0371871f80,summerOnto:Linea,,,,,,,,,,,,,55.0,+--+-+-+--+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,11.0,y con diversas flores va esparciendo.
https://summer-school.uned.es/resources/Linea#943c0538-a5c2-47ee-9e97-2901fefd0e1f,summerOnto:Linea,,,,,,,,,,,,,56.0,-+--+--+-,9.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,12.0,El aire del huerto orea
https://summer-school.uned.es/resources/Linea#b60b806f-3611-475d-b140-b90ba6de396a,summerOnto:Linea,,,,,,,,,,,,,57.0,+-+-+-+---+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,12.0,y ofrece mil olores al sentido;
https://summer-school.uned.es/resources/Linea#22525746-5e4d-485a-9384-7ec95b8555b9,summerOnto:Linea,,,,,,,,,,,,,58.0,-+---+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,12.0,los árboles menea
https://summer-school.uned.es/resources/Linea#a1926df6-515d-4448-b1ed-581c13eb8c94,summerOnto:Linea,,,,,,,,,,,,,59.0,-++--+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,12.0,con un manso ruïdo
